Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
3/22/2013,The Croods,"$135,000,000","$187,168,425","$573,068,425",7.2,"163,924",Animation Adventure Comedy Family Fantasy,http://www.imdb.com/title/tt0481499/,Kirk DeMiccoChris Sanders,"Kristine Belson
Jane Hartwell",NA,Nicolas CageEmma StoneRyan ReynoldsCatherine KeenerClark DukeCloris Leachman,Alan Silvestri[2],NA,Eric DapkewiczDarren T. Holmes,DreamWorks Animation,20th Century Fox,"February 15, 2013 (2013-02-15) (Berlin)
March 22, 2013 (2013-03-22) (United States)",98 minutes[3],United States,English,$135 million[4],$587.2 million[4],https://en.wikipedia.org/wiki/The_Croods,//upload.wikimedia.org/wikipedia/en/thumb/7/72/The_Croods_poster.jpg/220px-The_Croods_poster.jpg,"Kirk DeMicco
Chris Sanders","John Cleese[1]
Kirk DeMicco
Chris Sanders",NA,NA
12/25/2008,The Curious Case of Benjamin Button,"$160,000,000","$127,509,326","$329,809,326",7.8,"498,311",Drama Fantasy Romance,http://www.imdb.com/title/tt0421715/,David Fincher,"Ceán Chaffin
Kathleen Kennedy
Frank Marshall",NA,"Brad Pitt
Cate Blanchett
Taraji P. Henson
Julia Ormond
Jason Flemyng
Elias Koteas
Tilda Swinton",Alexandre Desplat,Claudio Miranda,"Kirk Baxter
Angus Wall",The Kennedy/Marshall Company,"Paramount Pictures
(United States)
Warner Bros. Pictures
(International)","December 25, 2008 (2008-12-25)",166 minutes[1],United States,English,$167 million[2][3],$334 million[4],https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film),//upload.wikimedia.org/wikipedia/en/thumb/7/7c/The_Curious_Case_of_Benjamin_Button_%28film%29.png/220px-The_Curious_Case_of_Benjamin_Button_%28film%29.png,Eric Roth,"Eric Roth
Robin Swicord","The Curious Case of Benjamin Button
by F. Scott Fitzgerald",NA
5/19/2006,The Da Vinci Code,"$125,000,000","$217,536,138","$767,820,459",6.6,"346,426",Mystery Thriller,http://www.imdb.com/title/tt0382625/,Ron Howard,"John Calley
Brian Grazer
Ron Howard",NA,"Tom Hanks
Audrey Tautou
Ian McKellen
Alfred Molina
Jürgen Prochnow
Jean Reno
Paul Bettany",Hans Zimmer,Salvatore Totino,"Daniel P. Hanley
Mike Hill",NA,Columbia Pictures,"May 17, 2006 (2006-05-17) (Cannes)
May 19, 2006 (2006-05-19) (United States)",149 minutes[1] Extended:174 Minutes,United States,English,$125 million[2],$758.2 million[2],https://en.wikipedia.org/wiki/The_Da_Vinci_Code_(film),//upload.wikimedia.org/wikipedia/en/thumb/e/e9/The_da_vinci_code_final.jpg/220px-The_da_vinci_code_final.jpg,Akiva Goldsman,NA,"The Da Vinci Code
by Dan Brown","Imagine Entertainment
Rainmaker Digital Effects
Skylark Productions"
7/18/2008,The Dark Knight,"$185,000,000","$533,345,358","$1,001,620,618",9.0,"1,848,981",Action Crime Drama Thriller,http://www.imdb.com/title/tt0468569/,Christopher Nolan,"Emma Thomas
Charles Roven
Christopher Nolan",NA,"Christian Bale
Michael Caine
Heath Ledger
Gary Oldman
Aaron Eckhart
Maggie Gyllenhaal
Morgan Freeman","Hans Zimmer
James Newton Howard",Wally Pfister,Lee Smith,NA,Warner Bros. Pictures,"July 14, 2008 (2008-07-14) (New York City)
July 18, 2008 (2008-07-18) (United States)
July 25, 2008 (2008-07-25) (United Kingdom)",152 minutes[1],"United Kingdom[2]
United States[2]",English,$185 million[3],$1.005 billion[3],https://en.wikipedia.org/wiki/The_Dark_Knight_(film),//upload.wikimedia.org/wikipedia/en/8/8a/Dark_Knight.jpg,"Jonathan Nolan
Christopher Nolan","Christopher Nolan
David S. Goyer","Characters appearing in comic books published
by DC Comics","Legendary Pictures
Syncopy"
7/20/2012,The Dark Knight Rises,"$275,000,000","$448,139,099","$1,084,439,099",8.4,"1,259,800",Action Thriller,http://www.imdb.com/title/tt1345836/,Christopher Nolan,"Emma Thomas
Christopher Nolan
Charles Roven",NA,"Christian Bale
Michael Caine
Gary Oldman
Anne Hathaway
Tom Hardy
Marion Cotillard
Joseph Gordon-Levitt
Morgan Freeman",Hans Zimmer,Wally Pfister,Lee Smith,NA,Warner Bros. Pictures,"July 16, 2012 (2012-07-16) (New York City)
July 20, 2012 (2012-07-20) (UK and US)",165 minutes[1],"United Kingdom[2]
United States[2]",English,"$250–300 million (Gross)[3]
$230 million (Net)[3]",$1.085 billion[4],https://en.wikipedia.org/wiki/The_Dark_Knight_Rises,//upload.wikimedia.org/wikipedia/en/8/83/Dark_knight_rises_poster.jpg,"Jonathan Nolan
Christopher Nolan","Christopher Nolan
David S. Goyer","Characters appearing in comic books published
by DC Comics","Legendary Pictures
Syncopy"
5/28/2004,The Day After Tomorrow,"$125,000,000","$186,740,799","$556,319,450",6.4,"358,399",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt0319262/,Roland Emmerich,"Roland Emmerich
Mark Gordon",NA,"Dennis Quaid
Jake Gyllenhaal
Ian Holm
Emmy Rossum
Sela Ward",Harald Kloser,Ueli Steiger,David Brenner,"Centropolis Entertainment
Lionsgate Films
Mark Gordon Company",20th Century Fox,"May 17, 2004 (2004-05-17) (Mexico City)
May 28, 2004 (2004-05-28) (United States)",124 minutes,United States,English,$125 million[1],$544.3 million[1],https://en.wikipedia.org/wiki/The_Day_After_Tomorrow,//upload.wikimedia.org/wikipedia/en/thumb/5/58/The_Day_After_Tomorrow_movie.jpg/215px-The_Day_After_Tomorrow_movie.jpg,Roland Emmerich,"Roland Emmerich
Jeffrey Nachmanoff","The Coming Global Superstorm
1999 book
by Art BellWhitley Strieber",NA
12/12/2008,The Day the Earth Stood Still,"$80,000,000","$79,366,978","$233,066,978",5.5,"147,102",Drama Sci-Fi Thriller,http://www.imdb.com/title/tt0970416/,Scott Derrickson,"Paul Harris Boardman
Gregory Goodman
Erwin Stoff",NA,"Keanu Reeves
Jennifer Connelly
Jaden Smith
Kathy Bates
Jon Hamm
John Cleese
Kyle Chandler",Tyler Bates,David Tattersall,Wayne Wahrman,NA,20th Century Fox,"December 12, 2008 (2008-12-12)",103 minutes[1],United States,English,$80 million[2],$233.1 million[2],https://en.wikipedia.org/wiki/The_Day_the_Earth_Stood_Still_(2008_film),//upload.wikimedia.org/wikipedia/en/thumb/c/c1/The_Day_the_Earth_Stood_Still.jpg/220px-The_Day_the_Earth_Stood_Still.jpg,David Scarpa,NA,"Farewell to the Master
by Harry Bates
The Day the Earth Stood Still
by Edmund H. North","3 Arts Entertainment
Dune Entertainment"
10/6/2006,The Departed,"$90,000,000","$132,384,315","$289,660,619",8.5,"967,586",Crime Drama Thriller,http://www.imdb.com/title/tt0407887/,Martin Scorsese,"Brad Pitt
Brad Grey
Graham King",NA,"Leonardo DiCaprio
Matt Damon
Jack Nicholson
Mark Wahlberg
Martin Sheen
Ray Winstone
Vera Farmiga
Alec Baldwin",Howard Shore,Michael Ballhaus,Thelma Schoonmaker,NA,Warner Bros. Pictures,"September 26, 2006 (2006-09-26) (Ziegfeld Theatre)
October 6, 2006 (2006-10-06) (United States)",150 minutes[1],United States,English,$90 million[1],$289.8 million[1],https://en.wikipedia.org/wiki/The_Departed,//upload.wikimedia.org/wikipedia/en/thumb/5/50/Departed234.jpg/220px-Departed234.jpg,William Monahan,NA,"Infernal Affairs
by Alan MakFelix Chong","Plan B Entertainment
Initial Entertainment Group
Vertigo Entertainment
Media Asia Films"
3/26/1997,The Devil's Own,"$90,000,000","$42,885,593","$140,900,000",6.1,"49,558",Action Crime Drama Thriller,http://www.imdb.com/title/tt0118972/,Alan J. Pakula,"Lawrence Gordon
Robert F. Colesberry",NA,"Harrison Ford
Brad Pitt
Margaret Colin
Rubén Blades
Treat Williams
George Hearn",James Horner,Gordon Willis,"Tom Rolf
Dennis Virkler",Columbia Pictures,Columbia Pictures,"March 26, 1997 (1997-03-26) (USA)",111 minutes,United States,English,$86 million[3],"$140,807,547 (worldwide)[4]",https://en.wikipedia.org/wiki/The_Devil%27s_Own,//upload.wikimedia.org/wikipedia/en/thumb/7/7d/Devils_own_film.jpg/220px-Devils_own_film.jpg,"David Aaron Cohen
Vincent Patrick
Kevin Jarre
Robert Mark Kamen[1][2](uncredited)",Kevin Jarre,NA,NA
3/18/2016,The Divergent Series: Allegiant,"$110,000,000","$66,184,051","$171,484,051",5.7,"77,736",Action Adventure Mystery Sci-Fi Thriller,http://www.imdb.com/title/tt3410834/,Robert Schwentke,"Lucy Fisher
Pouya Shahbazian
Douglas Wick",NA,"Shailene Woodley
Theo James
Jeff Daniels
Miles Teller
Ansel Elgort
Zoë Kravitz
Maggie Q
Ray Stevenson
Bill Skarsgård
Octavia Spencer
Naomi Watts",Joseph Trapanese,Florian Ballhaus,Stuart Levy,NA,Summit Entertainment,"March 8, 2016 (2016-03-08) (Bangkok)
March 18, 2016 (2016-03-18) (United States)",121 minutes[1],United States,English,$142 million[2],$179.2 million[3],https://en.wikipedia.org/wiki/The_Divergent_Series:_Allegiant,//upload.wikimedia.org/wikipedia/en/thumb/f/f8/Allegiantfilmposter.jpg/220px-Allegiantfilmposter.jpg,"Bill Collage
Adam Cooper
Noah Oppenheim",NA,"Allegiant
by Veronica Roth","Red Wagon Entertainment
Mandeville Films"
3/20/2015,The Divergent Series: Insurgent,"$110,000,000","$130,179,072","$295,279,072",6.3,"179,474",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt2908446/,Robert Schwentke,"Douglas Wick
Lucy Fisher
Pouya Shabazian",NA,"Shailene Woodley
Theo James
Octavia Spencer
Jai Courtney
Ray Stevenson
Zoë Kravitz
Miles Teller
Ansel Elgort
Maggie Q
Naomi Watts
Kate Winslet",Joseph Trapanese,Florian Ballhaus,"Nancy Richardson
Stuart Levy",NA,Lionsgate,"March 11, 2015 (2015-03-11) (London)
March 20, 2015 (2015-03-20) (United States)",119 minutes[1],United States,English,$110 million[2],$297.3 million[2],https://en.wikipedia.org/wiki/The_Divergent_Series:_Insurgent,//upload.wikimedia.org/wikipedia/en/thumb/a/af/Insurgent_poster.jpg/220px-Insurgent_poster.jpg,"Brian Duffield
Akiva Goldsman
Mark Bomback",NA,"Insurgent
by Veronica Roth","Red Wagon Entertainment
Summit Entertainment
Mandeville Films"
12/15/2000,The Emperor's New Groove,"$100,000,000","$89,296,573","$169,296,573",7.3,"142,768",Animation Adventure Comedy Family Fantasy,http://www.imdb.com/title/tt0120917/,Mark Dindal,Randy Fullmer,NA,"David Spade
John Goodman
Eartha Kitt
Patrick Warburton
Wendie Malick",John Debney,NA,"Tom Finan
Pam Ziegenhagen","Walt Disney Pictures
Walt Disney Feature Animation",Buena Vista Distribution,"December 15, 2000 (2000-12-15)",77 minutes,United States,English,$100 million[1],$169.3 million[1],https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove,//upload.wikimedia.org/wikipedia/en/6/69/Grooveposter.jpg,David Reynolds,"Chris Williams
Mark Dindal",NA,NA
8/17/2012,The Expendables 2,"$100,000,000","$85,028,192","$311,979,256",6.6,"262,381",Action Adventure Thriller,http://www.imdb.com/title/tt1764651/,Simon West,"Avi Lerner
Danny Lerner
Kevin King Templeton
Les Weldon",NA,"Sylvester Stallone
Jason Statham
Jet Li
Dolph Lundgren
Chuck Norris
Terry Crews
Randy Couture
Liam Hemsworth
Jean-Claude Van Damme
Bruce Willis
Arnold Schwarzenegger",Brian Tyler,Shelly Johnson,Todd E. Miller,"Millennium Films
Nu Image",Lionsgate,"August 13, 2012 (2012-08-13) (London)
August 17, 2012 (2012-08-17) (United States)",103 minutes[1],United States,English,$100 million[2],$305.4 million[3],https://en.wikipedia.org/wiki/The_Expendables_2,//upload.wikimedia.org/wikipedia/en/thumb/e/ed/The_Expendables_2_poster.jpg/220px-The_Expendables_2_poster.jpg,"Sylvester Stallone
Richard Wenk","David Agosto
Ken Kaufman
Richard Wenk","Characters
by David Callaham",NA
8/13/2010,The Expendables,"$82,000,000","$103,068,524","$268,268,174",6.5,"289,565",Action Adventure Thriller,http://www.imdb.com/title/tt1320253/,Sylvester Stallone,"Avi Lerner
John Thompson
Kevin King-Templeton",NA,"Sylvester Stallone
Jason Statham
Jet Li
Dolph Lundgren
Eric Roberts
Randy Couture
Steve Austin
David Zayas
Giselle Itié
Terry Crews
Mickey Rourke",Brian Tyler,Jeffrey Kimball,"Ken Blackwell
Paul Harb",NA,Lionsgate,"August 3, 2010 (2010-08-03) (Los Angeles)
August 13, 2010 (2010-08-13) (United States)",103 minutes[1],United States,English,$80 million[2],$274.5 million[2],https://en.wikipedia.org/wiki/The_Expendables_%282010_film%29,//upload.wikimedia.org/wikipedia/en/thumb/7/76/Expendablesposter.jpg/220px-Expendablesposter.jpg,"David Callaham
Sylvester Stallone",David Callaham,NA,"Millennium Films
Nu Image"
8/15/2014,The Expendables 3,"$100,000,000","$39,322,544","$209,461,378",6.1,"142,344",Action Adventure Thriller,http://www.imdb.com/title/tt2333784/,Patrick Hughes,"Avi Lerner
Kevin King-Templeton
Danny Lerner
Les Weldon
John Thompson[1]",NA,"Sylvester Stallone
Jason Statham
Antonio Banderas
Jet Li
Wesley Snipes
Dolph Lundgren
Kelsey Grammer
Randy Couture
Terry Crews
Kellan Lutz
Ronda Rousey
Glen Powell
Victor Ortiz
Mel Gibson
Harrison Ford
Arnold Schwarzenegger",Brian Tyler,"Peter Menzies, Jr.","Sean Albertson
Paul Harb",NA,Lionsgate,"August 4, 2014 (2014-08-04) (London)
August 15, 2014 (2014-08-15) (United States)",126 minutes[2],United States,English,$90 million[3],$214.6 million[4],https://en.wikipedia.org/wiki/The_Expendables_3_(2014_film),//upload.wikimedia.org/wikipedia/en/thumb/5/55/Expendables_3_poster.jpg/220px-Expendables_3_poster.jpg,"Sylvester Stallone[1]
Creighton Rothenberger
Katrin Benedikt",Sylvester Stallone,"Characters
by David Callaham","Millennium Films
Nu Image"
6/16/2006,The Fast and the Furious: Tokyo Drift,"$85,000,000","$62,615,510","$157,794,205",6.0,"200,027",Action Crime Thriller,http://www.imdb.com/title/tt0463985/,Justin Lin,Neal H. Moritz,Chris Morgan,"Lucas Black
Nathalie Kelley
Sung Kang
Bow Wow
Brian Tee
Vin Diesel (cameo)",Brian Tyler,Stephen F. Windon,"Kelly Matsumoto
Dallas Puett
Fred Raskin",Universal Pictures[1],Universal Pictures[1],"June 4, 2006 (2006-06-04) (Universal City, California)
June 16, 2006 (2006-06-16) (United States)",104 minutes,"Germany[2]
United States[2]","English
Japanese",$85 million[3],$158.5 million[4],https://en.wikipedia.org/wiki/The_Fast_and_the_Furious:_Tokyo_Drift,//upload.wikimedia.org/wikipedia/en/thumb/4/4f/Poster_-_Fast_and_Furious_Tokyo_Drift.jpg/220px-Poster_-_Fast_and_Furious_Tokyo_Drift.jpg,NA,NA,"Characters
by Gary Scott Thompson",NA
4/14/2017,The Fate of the Furious,"$250,000,000","$225,764,765","$1,237,444,462",6.8,"140,620",Action Adventure Crime Thriller,http://www.imdb.com/title/tt4630562/,F. Gary Gray,"Neal H. Moritz
Vin Diesel
Michael Fottrell
Chris Morgan",Chris Morgan,"Vin Diesel
Dwayne Johnson
Jason Statham
Michelle Rodriguez
Tyrese Gibson
Chris ""Ludacris"" Bridges
Scott Eastwood
Nathalie Emmanuel
Elsa Pataky
Kurt Russell
Charlize Theron",Brian Tyler,Stephen F. Windon,"Christian Wagner
Paul Rubell","China Film
Original Film
One Race Films",Universal Pictures,"April 4, 2017 (2017-04-04) (Berlin)
April 14, 2017 (2017-04-14) (United States)",136 minutes[1],United States,English,$250 million[1],$1.239 billion[1],https://en.wikipedia.org/wiki/The_Fate_of_the_Furious,//upload.wikimedia.org/wikipedia/en/2/2d/The_Fate_of_The_Furious_Theatrical_Poster.jpg,NA,NA,"Characters
by Gary Scott Thompson",NA
5/9/1997,The Fifth Element,"$95,000,000","$63,570,862","$263,898,761",7.7,"372,540",Action Adventure Sci-Fi,http://www.imdb.com/title/tt0119116/,Luc Besson,Patrice Ledoux,NA,"Bruce Willis
Gary Oldman
Chris Tucker
Ian Holm
Milla Jovovich",Éric Serra,Thierry Arbogast,Sylvie Landra,Gaumont,Gaumont Buena Vista International[1](France)Columbia Pictures (United States),7 May 1997 (1997-05-07),126 minutes[2],France,English,$90 million[3][4][5][6][a],$263.9 million[7],https://en.wikipedia.org/wiki/The_Fifth_Element,//upload.wikimedia.org/wikipedia/en/thumb/6/65/Fifth_element_poster_%281997%29.jpg/220px-Fifth_element_poster_%281997%29.jpg,"Luc Besson
Robert Mark Kamen",Luc Besson,NA,NA
12/20/2011,The Girl with the Dragon Tattoo,"$90,000,000","$102,515,793","$239,373,970",7.8,"358,055",Crime Drama Mystery Thriller,http://www.imdb.com/title/tt1568346/,David Fincher,"Scott Rudin
Ole Søndberg
Søren Stærmose
Ceán Chaffin",NA,"Daniel Craig
Rooney Mara
Christopher Plummer
Stellan Skarsgård
Steven Berkoff
Robin Wright
Yorick van Wageningen
Joely Richardson","Trent Reznor
Atticus Ross",Jeff Cronenweth,"Kirk Baxter
Angus Wall","Scott Rudin Productions
Yellow Bird","Columbia Pictures
Metro-Goldwyn-Mayer Pictures","December 12, 2011 (2011-12-12) (Odeon Leicester Square)
December 20, 2011 (2011-12-20) (United States)
December 21, 2011 (2011-12-21) (Sweden)",158 minutes[1],"United States
Sweden",English,$90 million[2],$232.6 million[2],https://en.wikipedia.org/wiki/The_Girl_with_the_Dragon_Tattoo_(2011_film),//upload.wikimedia.org/wikipedia/en/thumb/8/80/The_Girl_with_the_Dragon_Tattoo_Poster.jpg/220px-The_Girl_with_the_Dragon_Tattoo_Poster.jpg,Steven Zaillian,NA,"The Girl with the Dragon Tattoo
by Stieg Larsson",NA
12/7/2007,The Golden Compass,"$205,000,000","$70,107,728","$367,262,558",6.1,"157,859",Adventure Family Fantasy,http://www.imdb.com/title/tt0385752/,Chris Weitz,Bill CarraroDeborah Forte,NA,"Nicole Kidman
Dakota Blue Richards
Daniel Craig
Sam Elliott
Eva Green
Ian McKellen
Ian McShane
Freddie Highmore",Alexandre Desplat,Henry Braham,"Anne V. Coates
Peter Honess
Kevin Tent","New Line Cinema
Ingenious Film Partners
Scholastic Productions","Warner Bros. Pictures (United States)
Entertainment Film Distributors (United Kingdom)","November 27, 2007 (2007-11-27) (London)
December 5, 2007 (2007-12-05) (United Kingdom)
December 7, 2007 (2007-12-07) (United States)",113 minutes[1],"United States
United Kingdom",English,$180 million[1],$372 million[1],https://en.wikipedia.org/wiki/The_Golden_Compass_(film),//upload.wikimedia.org/wikipedia/en/thumb/b/b6/The_Golden_Compass.jpg/220px-The_Golden_Compass.jpg,Chris Weitz,NA,"Northern Lights
by Philip Pullman",NA
11/25/2015,The Good Dinosaur,"$187,500,000","$123,087,120","$334,342,692",6.7,"81,283",Animation Adventure Comedy Drama Family Fantasy,http://www.imdb.com/title/tt1979388/,Peter Sohn,Denise Ream[1],NA,"Raymond Ochoa
Jack Bright
Sam Elliott
Anna Paquin
A.J. Buckley
Steve Zahn
Jeffrey Wright
Frances McDormand","Mychael Danna[3]
Jeff Danna","Sharon Calahan
Mahyar Abousaeedi",Stephen Schaffer,NA,"Walt Disney Studios
Motion Pictures","November 10, 2015 (2015-11-10) (Paris)
November 25, 2015 (2015-11-25) (United States)",93 minutes[4],United States,English,$175 million[5][6][7],$332.2 million[8],https://en.wikipedia.org/wiki/The_Good_Dinosaur,//upload.wikimedia.org/wikipedia/en/thumb/8/80/The_Good_Dinosaur_poster.jpg/220px-The_Good_Dinosaur_poster.jpg,Meg LeFauve,"Peter Sohn
Erik Benson
Meg LeFauve
Kelsey Mann
Bob Peterson[2]",NA,"Walt Disney Pictures
Pixar Animation Studios"
5/10/2013,The Great Gatsby,"$190,000,000","$144,840,419","$351,040,419",7.3,"396,633",Drama Romance,http://www.imdb.com/title/tt1343092/,Baz Luhrmann,"Lucy Fisher
Catherine Knapman
Baz Luhrmann
Catherine Martin
Douglas Wick",NA,"Leonardo DiCaprio
Tobey Maguire
Carey Mulligan
Joel Edgerton
Isla Fisher
Jason Clarke
Amitabh Bachchan",Craig Armstrong,Simon Duggan,"Jason Ballantine
Jonathan Redmond
Matt Villa","Village Roadshow Pictures
Bazmark Productions
A&E Television
Red Wagon Entertainment","Warner Bros. Pictures (United States)
Roadshow Entertainment (Australia)","May 1, 2013 (2013-05-01) (New York City)
May 10, 2013 (2013-05-10) (United States)
May 30, 2013 (2013-05-30) (Australia)",142 minutes[1],"Australia
United States",English,$105 million[2],$351 million[3],https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),//upload.wikimedia.org/wikipedia/en/thumb/c/c2/TheGreatGatsby2013Poster.jpg/220px-TheGreatGatsby2013Poster.jpg,"Baz Luhrmann
Craig Pearce",NA,"The Great Gatsby
by F. Scott Fitzgerald",NA
2/17/2017,The Great Wall,"$150,000,000","$45,157,105","$334,550,106",6.0,"84,286",Action Adventure Fantasy Thriller,http://www.imdb.com/title/tt2034800/,Zhang Yimou,"Thomas Tull
Charles Roven
Jon Jashni
Peter Loehr[1]",NA,"Matt Damon
Jing Tian
Pedro Pascal
Willem Dafoe
Andy Lau",Ramin Djawadi,"Stuart Dryburgh
Zhao Xiaoding",Mary Jo MarkeyCraig Wood,"Legendary East
Atlas Entertainment[1]
China Film Group
Le Vision Pictures","Universal Pictures[2]
China Film Group[3]","December 6, 2016 (2016-12-06) (Beijing)
December 16, 2016 (2016-12-16) (China)
February 17, 2017 (2017-02-17) (United States)",103 minutes[4],"United States[1]
China","English
Mandarin
Spanish",$150 million[5],$334.5 million[4],https://en.wikipedia.org/wiki/The_Great_Wall_%28film%29,//upload.wikimedia.org/wikipedia/en/c/cd/The_Great_Wall_%28film%29.png,"Carlo Bernard
Doug Miro
Tony Gilroy","Max Brooks
Edward Zwick
Marshall Herskovitz",NA,NA
1/14/2011,The Green Hornet,"$110,000,000","$98,780,042","$229,155,503",5.8,"142,473",Action Comedy Crime Sci-Fi Thriller,http://www.imdb.com/title/tt0990407/,Michel Gondry,Neal H. Moritz,"Seth Rogen
Evan Goldberg","Seth Rogen
Jay Chou
Christoph Waltz
Cameron Diaz
Edward James Olmos
David Harbour
Tom Wilkinson",James Newton Howard,John Schwartzman,Michael Tronick,Original Film,Columbia Pictures,"January 10, 2011 (2011-01-10) (Los Angeles)
January 14, 2011 (2011-01-14) (United States)",119 minutes[1],United States,English,$120 million[2],$227.8 million[2],https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film),//upload.wikimedia.org/wikipedia/en/thumb/f/fa/The_Green_Hornet_Poster.jpg/220px-The_Green_Hornet_Poster.jpg,NA,NA,"The Green Hornet
by George W. TrendleFran Striker",NA
5/23/2013,The Hangover 3,"$103,000,000","$112,200,072","$362,000,072",5.9,"246,762",Comedy Crime,http://www.imdb.com/title/tt1951261/,Todd Phillips,"Daniel Goldberg
Todd Phillips","Craig Mazin
Todd Phillips","Bradley Cooper
Ed Helms
Zach Galifianakis
Ken Jeong
Melissa McCarthy
Jeffrey Tambor
Heather Graham
Mike Epps
Justin Bartha
John Goodman",Christophe Beck and Billy Joel,Lawrence Sher,"Debra Neil-Fisher
Jeff Groth",NA,Warner Bros. Pictures,"May 20, 2013 (2013-05-20) (Westwood Village Theatre)
May 23, 2013 (2013-05-23) (United States)",100 minutes[1],United States,English,$103 million[2][3],$362 million[3],https://en.wikipedia.org/wiki/The_Hangover_Part_III,//upload.wikimedia.org/wikipedia/en/thumb/1/15/The_Hangover_Part_3.JPG/220px-The_Hangover_Part_3.JPG,NA,NA,NA,"Legendary Pictures
Green Hat Films
Benderspink"
5/26/2011,The Hangover Part II,"$80,000,000","$254,464,305","$586,464,305",6.5,"403,660",Comedy Mystery,http://www.imdb.com/title/tt1411697/,Todd Phillips,"Daniel Goldberg
Todd Phillips","Scot Armstrong
Craig Mazin
Todd Phillips","Bradley Cooper
Ed Helms
Zach Galifianakis
Ken Jeong
Jeffrey Tambor
Justin Bartha
Paul Giamatti",Christophe Beck,Lawrence Sher,"Debra Neil-Fisher
Mike Sale",NA,Warner Bros. Pictures,"May 19, 2011 (2011-05-19) (TCL Chinese Theater)
May 26, 2011 (2011-05-26) (United States)",101 minutes[1],United States,English,$80 million[2],$586.8 million[2],https://en.wikipedia.org/wiki/The_Hangover:_Part_II,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/HangoverPart2MP2011.jpg/220px-HangoverPart2MP2011.jpg,NA,NA,"Characters
by Jon LucasScott Moore","Legendary Pictures
Green Hat Films
Benderspink"
11/26/2003,The Haunted Mansion,"$90,000,000","$75,817,994","$155,750,628",4.9,"34,950",Comedy Family Fantasy Horror Mystery,http://www.imdb.com/title/tt0338094/,Rob Minkoff,"Andrew Gunn
Don Hahn",David Berenbaum,"Eddie Murphy
Terence Stamp
Nathaniel Parker
Marsha Thomason
Jennifer Tilly",Mark Mancina,Remi Adefarasin,Priscilla Nedd-Friendly,Walt Disney Pictures,Buena Vista Pictures,"November 26, 2003 (2003-11-26)",86 minutes[1],United States,English,$90 million[2],$182.3 million[2],https://en.wikipedia.org/wiki/The_Haunted_Mansion_(film),//upload.wikimedia.org/wikipedia/en/thumb/6/6d/Haunted_mansion_ver3.jpg/220px-Haunted_mansion_ver3.jpg,NA,NA,Walt Disney's Haunted Mansion,NA
7/23/1999,The Haunting,"$80,000,000","$91,188,905","$180,188,905",4.9,"62,125",Fantasy Horror Mystery Thriller,http://www.imdb.com/title/tt0171363/,Jan de Bont,"Donna RothColin Wilson
Susan Arnold",NA,"Liam Neeson
Catherine Zeta-Jones
Owen Wilson
Lili Taylor",Jerry Goldsmith,Karl Walter Lindenlaub,Michael Kahn,NA,DreamWorks Pictures,"July 23, 1999 (1999-07-23)",114 minutes,United States,English,$80 million,$177.3 million,https://en.wikipedia.org/wiki/The_Haunting_(1999_film),//upload.wikimedia.org/wikipedia/en/thumb/b/ba/The_Haunting_film.jpg/220px-The_Haunting_film.jpg,David SelfMichael Tolkin,NA,"The Haunting of Hill House
by Shirley Jackson",NA
12/14/2012,The Hobbit: An Unexpected Journey,"$250,000,000","$303,003,568","$1,017,003,568",7.9,"682,594",Adventure Family Fantasy,http://www.imdb.com/title/tt0903624/,Peter Jackson,"Carolynne Cunningham
Zane Weiner
Fran Walsh
Peter Jackson",NA,"Ian McKellen
Martin Freeman
Richard Armitage
James Nesbitt
Ken Stott
Cate Blanchett
Ian Holm
Christopher Lee
Hugo Weaving
Elijah Wood
Andy Serkis",Howard Shore,Andrew Lesnie,Jabez Olssen,"New Line Cinema
Metro-Goldwyn-Mayer
WingNut Films",Warner Bros. Pictures,"28 November 2012 (2012-11-28) (Wellington premiere)
12 December 2012 (2012-12-12) (New Zealand)
14 December 2012 (2012-12-14) (United States)","169 minutes[1](Theatrical)
182 minutes(Extended)","New Zealand
United States[2]",English,$200–315 million[3][4],$1.021 billion[5],https://en.wikipedia.org/wiki/The_Hobbit:_An_Unexpected_Journey,//upload.wikimedia.org/wikipedia/en/b/b3/The_Hobbit-_An_Unexpected_Journey.jpeg,"Fran Walsh
Philippa Boyens
Peter Jackson
Guillermo del Toro",NA,"The Hobbit
by J. R. R. Tolkien",NA
